Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,X,Y,Victima,Acusado,Sexo,Edad,Gravedad
119,1,2019,SD,SD,-58.447447,-34.625172,MOTO,SD,Varon,SD,SD
120,1,2019,SD,SD,-58.447169,-34.605403,TRANSPORTE PUBLICO,SD,Mujer,29,SD
121,1,2019,SD,SD,-58.419283,-34.587575,MOTO,SD,Varon,54,SD
122,2,2019,SD,SD,-58.493326,-34.54837,MOTO,SD,Varon,51,SD
123,2,2019,SD,SD,SD,SD,AUTO,SD,Varon,33,SD
124,1,2019,SD,SD,-58.471575,-34.626368,CICLISTA,SD,Varon,42,SD
125,1,2019,SD,SD,-58.528155,-34.611798,CICLISTA,SD,Mujer,74,SD
126,1,2019,SD,SD,-58.418829,-34.62583,SD,SD,Varon,70,SD
127,1,2019,SD,SD,-58.43953,-34.628853,SD,SD,Mujer,40,SD
128,1,2019,SD,SD,SD,SD,PEATON,SD,Mujer,6,SD
129,1,2019,SD,SD,SD,SD,PEATON,SD,Mujer,30,SD
130,1,2019,SD,SD,-58.507922,-34.656089,TRANSPORTE PUBLICO,SD,Varon,SD,SD
131,1,2019,SD,SD,-58.3958,-34.616021,MOTO,SD,Varon,28,SD
132,2,2019,SD,SD,-58.397691,-34.618555,MOTO,SD,Mujer,12,SD
133,1,2019,SD,SD,-58.472974,-34.551674,MOTO,SD,Mujer,83,SD
134,1,2019,SD,SD,-58.384719,-34.612323,MOTO,SD,Varon,27,SD
135,1,2019,SD,SD,-58.52877,-34.64373,SD,SD,Varon,24,SD
136,1,2019,SD,SD,-58.380897,-34.624645,TRANSPORTE PUBLICO,SD,Varon,27,SD
137,1,2019,SD,SD,-58.41618,-34.635318,MOTO,SD,Mujer,35,SD
138,1,2019,SD,SD,-58.48935,-34.549178,MOTO,SD,Varon,12,SD
139,1,2019,SD,SD,-58.511016,-34.666649,MOTO,SD,Varon,12,SD
140,1,2019,SD,SD,-58.380622,-34.619758,MOTO,SD,Varon,12,SD
141,1,2019,SD,SD,-58.415573,-34.555241,SD,SD,Varon,12,SD
142,1,2019,SD,SD,-58.476096,-34.618101,SD,SD,Varon,12,SD
143,1,2019,SD,SD,-58.468682,-34.634692,AUTO,SD,Varon,12,SD
144,1,2019,SD,SD,-58.39669,-34.623003,SD,SD,Mujer,12,SD
145,1,2019,SD,SD,-58.475488,-34.539371,PEATON,SD,Varon,12,SD
146,2,2019,SD,SD,-58.417434,-34.621129,SD,SD,Varon,12,SD
147,1,2019,SD,SD,-58.392772,-34.600806,SD,SD,Mujer,12,SD
148,1,2019,SD,SD,-58.510559,-34.625114,SD,SD,Mujer,44,SD
149,4,2019,SD,SD,-58.374439,-34.591666,TRANSPORTE PUBLICO,SD,Mujer,44,SD
150,2,2019,SD,SD,-58.486934,-34.545749,SD,SD,Varon,70,SD
151,1,2019,SD,SD,-58.391962,-34.609233,SD,SD,Varon,29,SD
152,1,2019,SD,SD,-58.3733,-34.613613,CICLISTA,SD,Varon,64,SD
153,1,2019,SD,SD,-58.414935,-34.599599,CICLISTA,SD,Varon,27,SD
154,1,2019,SD,SD,-58.41322,-34.638077,CICLISTA,SD,Varon,68,SD
155,1,2019,SD,SD,-58.456416,-34.602389,CICLISTA,SD,Varon,49,SD
156,1,2019,SD,SD,-58.407091,-34.601586,SD,SD,Varon,21,SD
157,1,2019,SD,SD,-58.406632,-34.598045,SD,SD,Varon,SD,SD
158,1,2019,SD,SD,-58.411466,-34.613036,MOTO,SD,Varon,15,SD
159,1,2019,SD,SD,-58.395595,-34.61614,MOTO,SD,Varon,22,SD
160,1,2019,SD,SD,-58.432336,-34.551859,SD,SD,Varon,22,SD
161,1,2019,SD,SD,-58.471008,-34.550526,MOTO,SD,Varon,22,SD
162,1,2019,SD,SD,-58.49821,-34.628067,SD,SD,Mujer,74,SD
163,1,2019,SD,SD,-58.405934,-34.601726,SD,SD,Varon,38,SD
164,2,2019,SD,SD,-58.425894,-34.59153,SD,SD,Varon,34,SD
165,1,2019,SD,SD,-58.415783,-34.61562,SD,SD,Varon,31,SD
166,1,2019,SD,SD,-58.473352,-34.634862,MOTO,SD,Varon,19,SD
167,1,2019,SD,SD,-58.379401,-34.590102,SD,SD,Varon,27,SD
168,1,2019,SD,SD,-58.467516,-34.621471,MOTO,SD,Varon,45,SD
169,1,2019,SD,SD,-58.478558,-34.682602,SD,SD,Varon,30,SD
170,1,2019,SD,SD,-58.464112,-34.62925,PEATON,SD,Varon,30,SD
171,1,2019,SD,SD,-58.447442,-34.663275,SD,SD,Mujer,9,SD
172,1,2019,SD,SD,-58.417799,-34.600958,SD,SD,Varon,9,SD
173,1,2019,SD,SD,-58.48365,-34.589491,SD,SD,Mujer,49,SD
174,1,2019,SD,SD,-58.489656,-34.664678,SD,SD,Varon,39,SD
