Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,Victima,Acusado
200,2,2023,SD,AU ILLIA,SD,SD
201,2,2023,SD,AU 25 DE MAYO,SD,SD
202,1,2023,SD,AU ILLIA,SD,SD
203,2,2023,SD,AU 25 DE MAYO,SD,SD
204,3,2023,SD,AU 25 DE MAYO,SD,SD
205,1,2023,SD,AU PERITO MORENO,SD,SD
206,2,2023,SD,AV. CANTILO,SD,SD
207,2,2023,SD,AU 25 DE MAYO,SD,SD
208,2,2023,SD,TRANSICION RAMAL 3,SD,SD
209,1,2023,SD,AU DELLEPIANE,SD,SD
210,2,2023,SD,AV. LUGONES,SD,SD
211,3,2023,SD,AU DELLEPIANE,SD,SD
212,1,2023,SD,AU 25 DE MAYO,SD,SD
213,1,2023,SD,AU PERITO MORENO,SD,SD
214,2,2023,SD,AU ILLIA,SD,SD
215,1,2023,SD,AU PERITO MORENO,SD,SD
216,3,2023,SD,AU PERITO MORENO,SD,SD
217,2,2023,SD,AU PERITO MORENO,SD,SD
218,2,2023,SD,PASEO DEL BAJO,SD,SD
219,3,2023,SD,AU FRONDIZI,SD,SD
220,1,2023,SD,AU ILLIA,SD,SD
221,2,2023,SD,DIST. DELLEPIANE,SD,SD
222,3,2023,SD,AU DELLEPIANE,SD,SD
223,2,2023,SD,AU PERITO MORENO,SD,SD
224,2,2023,SD,AU PERITO MORENO,SD,SD
225,1,2023,SD,AV. LUGONES,SD,SD
226,1,2023,SD,AU 25 DE MAYO,SD,SD
227,2,2023,SD,AU FRONDIZI,SD,SD
228,2,2023,SD,AV. LUGONES,SD,SD
229,3,2023,SD,PASEO DEL BAJO,SD,SD
230,2,2023,SD,AU 25 DE MAYO,SD,SD
231,3,2023,SD,AU 25 DE MAYO,SD,SD
232,2,2023,SD,AU PERITO MORENO,SD,SD
233,4,2023,SD,AU 25 DE MAYO,SD,SD
234,1,2023,SD,AV. LUGONES,SD,SD
235,2,2023,SD,AU 25 DE MAYO,SD,SD
236,2,2023,SD,AU PERITO MORENO,SD,SD
237,2,2023,SD,AU DELLEPIANE,SD,SD
238,3,2023,SD,AV. CANTILO,SD,SD
239,1,2023,SD,AU FRONDIZI,SD,SD
240,1,2023,SD,AU 25 DE MAYO,SD,SD
241,1,2023,SD,AU PERITO MORENO,SD,SD
242,2,2023,SD,AV. LUGONES,SD,SD
243,2,2023,SD,AU DELLEPIANE,SD,SD
244,1,2023,SD,AU 25 DE MAYO,SD,SD
245,1,2023,SD,AU 25 DE MAYO,SD,SD
246,1,2023,SD,AV. LUGONES,SD,SD
247,2,2023,SD,AU ILLIA,SD,SD
248,1,2023,SD,AU 25 DE MAYO,SD,SD
249,2,2023,SD,AU 25 DE MAYO,SD,SD
250,2,2023,SD,AU 25 DE MAYO,SD,SD
251,2,2023,SD,AU 25 DE MAYO,SD,SD
252,2,2023,SD,AU ILLIA,SD,SD
253,1,2023,SD,AU PERITO MORENO,SD,SD
254,1,2023,SD,AU 25 DE MAYO,SD,SD
255,1,2023,SD,AU ILLIA,SD,SD
256,5,2023,SD,AU ILLIA,SD,SD
257,1,2023,SD,AU DELLEPIANE,SD,SD
258,1,2023,SD,AU DELLEPIANE,SD,SD
259,2,2023,SD,AV. LUGONES,SD,SD
260,2,2023,SD,AU DELLEPIANE,SD,SD
261,2,2023,SD,AU ILLIA,SD,SD
262,3,2023,SD,AU 25 DE MAYO,SD,SD
263,3,2023,SD,AU 25 DE MAYO,SD,SD
264,2,2023,SD,DIST. 9 DE JULIO,SD,SD
265,9,2023,SD,AU 25 DE MAYO,SD,SD
266,1,2023,SD,AU PERITO MORENO,SD,SD
